4699899,Grayactucus88,1352,2908,1460,1
4681423,Jonathan.H,1540,2614,1890,1
4533080,ilikeancientgreece,,175,36495,1
4756368,xxxguardianxxx,,666,9465,1
3858705,k0qn75,,554,11232,1
4760943,SamoanBarney,,0,47801,0
4667599,guestc07fa,,0,42898,0
4689218,not-the,,529,13117,1
4761260,Maxerkul,,0,46054,0
4785276,HMShood,,1094,6760,1
4677260,reardon44,435,1768,3915,1
4719294,guestd3608,,0,43203,0
4747744,killswitch89,,0,45148,0
4772921,Diva+Divine,,308,15324,1
4701293,Rompasaurus,,247,20396,1
410075,lilkieran,,672,9439,1
4750015,saxonblues,1410,0,47857,0
4680565,Gazdabg,115,3729,819,1
4705806,m1ghty+B0b,,1518,4888,1
4793382,Jessica+Louise,,0,44652,0
4669785,Armin+the+King,115,2663,1807,1
4694959,Christopher.R,1008,1513,4910,1
4772977,dany67sv,,273,17004,1
4687635,Bert2014,,544,11686,1
3322753,karlmarshall,,0,44999,0
4581783,jesse+rawlins,1540,2849,1536,1
4799108,yaser77,,0,49417,0
4772928,larry.h,,298,15728,1
4741409,Xelm,,0,49363,0
4795801,kuclj,,0,45365,0
4738816,melan1e,165,697,9297,1
4772925,juicejuice12,,221,29267,1
4771210,justicebeaver,1326,1379,5495,1
4681512,ferocious+flint,1096,2611,1895,1
4677234,guestfeac1,,298,15721,1
4771001,guest9d745,,197,35168,1
4774908,CaptainSwag22,2901,829,8383,1
4527655,Saf10,,175,36515,1
4790397,fbabek,,225,22191,1
4795244,YugoX,,0,49469,0
4669095,psrmurthy999,553,599,9970,1
4773208,Little+Irina,,245,20934,1
4206126,pipennise,3121,855,8209,1
4771006,s+light+s+light,,219,33127,1
4667569,ftr.Tazz,1093,3176,1183,1
910716,Fredrk,,1196,6261,1
2825025,the-black66,,551,11362,1
2637918,el+pasoo,,588,10164,1
4771007,guestee14d,,219,32843,1
1874894,Myles83,,175,36509,1
1977373,mmorris,869,3640,868,1
4789079,Ike7cc,,227,21882,1
2202351,killo1993,2812,987,7467,1
4784682,cosmicsky7,,542,11788,1
4081016,1burt,435,1815,3770,1
4692709,ElShih,1093,1716,4081,1
3558879,jonathan1989tt,,0,44810,0
4099640,Plato1990,197,3176,1184,1
3063894,TDKeal,,260,18350,1
4769972,jabizzler,1540,1525,4854,1
4772926,Emphatik,,0,39113,0
4775905,Charles+Deva,,210,33229,1
4691386,LeedsLadLuke,831,1530,4831,1
4757635,dudemandudedude,,1424,5300,1
4789094,emp+error,51,710,9209,1
4214980,manlalaban,3094,1147,6473,1
4770835,ivoldar,,270,17438,1
4783525,SkyvsGaming,,0,48135,0
4715055,discman24,1326,2057,3037,1
